#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 12 31 23 10 136  2.6 999 99.0 9999
2008 12 31 23 20 115  2.0 999 99.0 9999
2008 12 31 23 30 154  3.1 999 99.0 9999
2008 12 31 23 40 176  4.8 999 99.0 9999
2008 12 31 23 50 174  3.4 999 99.0 9999
2009 01 01 00 00 185  2.9 190  6.1 2332
2009 01 01 00 10 201  2.3 999 99.0 9999
2009 01 01 00 20 200  2.0 999 99.0 9999
2009 01 01 00 30 208  1.9 999 99.0 9999
2009 01 01 00 40 202  3.0 999 99.0 9999
2009 01 01 00 50 210  3.6 999 99.0 9999
2009 01 01 01 00 219  3.6 209  6.6 0058
2009 01 01 01 10 217  4.8 999 99.0 9999
2009 01 01 01 20 213  5.7 999 99.0 9999
2009 01 01 01 30 211  8.2 999 99.0 9999
2009 01 01 01 40 208  9.3 999 99.0 9999
2009 01 01 01 50 203  9.8 999 99.0 9999
2009 01 01 02 00 198 11.1 193 14.2 0159
2009 01 01 02 10 200 11.9 999 99.0 9999
2009 01 01 02 20 205 12.9 999 99.0 9999
2009 01 01 02 30 204 14.4 999 99.0 9999
2009 01 01 02 40 201 14.3 999 99.0 9999
2009 01 01 02 50 196 13.4 999 99.0 9999
2009 01 01 03 00 190 12.9 201 17.2 0219
2009 01 01 03 10 190 12.7 999 99.0 9999
2009 01 01 03 20 191 12.9 999 99.0 9999
2009 01 01 03 30 193 12.6 999 99.0 9999
2009 01 01 03 40 195 12.1 999 99.0 9999
2009 01 01 03 50 193 12.3 999 99.0 9999
2009 01 01 04 00 194 13.6 188 16.3 0316
2009 01 01 04 10 195 13.9 999 99.0 9999
2009 01 01 04 20 196 13.5 999 99.0 9999
2009 01 01 04 30 198 13.0 999 99.0 9999
2009 01 01 04 40 195 12.6 999 99.0 9999
2009 01 01 04 50 194 12.0 999 99.0 9999
2009 01 01 05 00 192 12.5 194 16.2 0401
2009 01 01 05 10 195 11.5 999 99.0 9999
2009 01 01 05 20 189 10.5 999 99.0 9999
2009 01 01 05 30 190 10.5 999 99.0 9999
