#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 00 181  9.9 10.8 99.00 99.00 99.00 999 1019.4   9.5 999.0   7.8 99.0 99.00
2021 01 01 01 00 189  9.9 11.2 99.00 99.00 99.00 999 1019.5   9.3 999.0   8.2 99.0 99.00
2021 01 01 02 00 177  8.8  9.8 99.00 99.00 99.00 999 1019.5   9.6 999.0   7.8 99.0 99.00
2021 01 01 03 00 188  9.4 10.3 99.00 99.00 99.00 999 1019.5   9.4 999.0   7.7 99.0 99.00
2021 01 01 04 00 190  8.8  9.6 99.00 99.00 99.00 999 1019.9   9.4 999.0   8.1 99.0 99.00
2021 01 01 05 00 188  9.5 10.5 99.00 99.00 99.00 999 1019.6   9.4 999.0   8.0 99.0 99.00
2021 01 01 06 00 167  5.5  5.9 99.00 99.00 99.00 999 1019.0   9.1 999.0   8.3 99.0 99.00
2021 01 01 07 00 150  5.3  5.9 99.00 99.00 99.00 999 1018.4   8.9 999.0   7.5 99.0 99.00
2021 01 01 08 00 156  5.9  6.2 99.00 99.00 99.00 999 1017.7   9.0 999.0   7.4 99.0 99.00
2021 01 01 09 00 160  5.6  6.2 99.00 99.00 99.00 999 1017.1   8.8 999.0   7.4 99.0 99.00
2021 01 01 10 00 177  5.0  5.3 99.00 99.00 99.00 999 1016.0   8.3 999.0   7.5 99.0 99.00
2021 01 01 11 00 181  7.0  7.5 99.00 99.00 99.00 999 1015.5   8.5 999.0   7.7 99.0 99.00
2021 01 01 12 00 161  6.4  6.8 99.00 99.00 99.00 999 1014.8   8.2 999.0   7.8 99.0 99.00
2021 01 01 13 00 160  5.8  6.2 99.00 99.00 99.00 999 1014.0   7.7 999.0   7.6 99.0 99.00
2021 01 01 14 00 160  5.1  6.3 99.00 99.00 99.00 999 1014.0   7.8 999.0   7.8 99.0 99.00
2021 01 01 15 00 158  5.6  6.6 99.00 99.00 99.00 999 1013.5   8.0 999.0   8.0 99.0 99.00
